tahun,kota_kota,kelurahan,jenis_kelamin,jumlah
2017,Kab.Kep.Seribu,P. Panggang,Laki-laki,1226
2017,Kab.Kep.Seribu,P. Kelapa,Laki-laki,1269
2017,Kab.Kep.Seribu,P. Harapan,Laki-laki,418
2017,Kab.Kep.Seribu,P. Untung Jawa,Laki-laki,430
2017,Kab.Kep.Seribu,P. Tidung,Laki-laki,989
2017,Kab.Kep.Seribu,P. Pari,Laki-laki,596
2017,Jakarta Pusat,Gambir,Laki-laki,361
2017,Jakarta Pusat,Cideng,Laki-laki,2439
2017,Jakarta Pusat,Petojo Utara,Laki-laki,3000
2017,Jakarta Pusat,Petojo Selatan,Laki-laki,2404
2017,Jakarta Pusat,Kebon Kelapa,Laki-laki,1776
2017,Jakarta Pusat,Duri Pulo,Laki-laki,3652
2017,Jakarta Pusat,Pasar Baru,Laki-laki,1869
2017,Jakarta Pusat,Karang Anyar,Laki-laki,4770
2017,Jakarta Pusat,Kartini,Laki-laki,3763
2017,Jakarta Pusat,Gunung Sahari Utara,Laki-laki,2600
2017,Jakarta Pusat,Mangga Dua Sltn,Laki-laki,4930
2017,Jakarta Pusat,Kemayoran,Laki-laki,3685
2017,Jakarta Pusat,Kebon Kosong,Laki-laki,5627
2017,Jakarta Pusat,Harapan Mulia,Laki-laki,4369
2017,Jakarta Pusat,Serdang,Laki-laki,5834
2017,Jakarta Pusat,Gunung Sahari Selatan,Laki-laki,3454
2017,Jakarta Pusat,Cempaka Baru,Laki-laki,6264
2017,Jakarta Pusat,Sumur Batu,Laki-laki,4174
2017,Jakarta Pusat,Utan Panjang,Laki-laki,5846
2017,Jakarta Pusat,Senen,Laki-laki,1270
2017,Jakarta Pusat,Kenari,Laki-laki,1513
2017,Jakarta Pusat,Paseban,Laki-laki,4124
2017,Jakarta Pusat,Kramat,Laki-laki,5465
2017,Jakarta Pusat,Kwitang,Laki-laki,2813
2017,Jakarta Pusat,Bungur,Laki-laki,3234
2017,Jakarta Pusat,Cempaka Putih Tmr,Laki-laki,4024
2017,Jakarta Pusat,Cempaka Putih Barat,Laki-laki,6499
2017,Jakarta Pusat,Rawasari,Laki-laki,3765
2017,Jakarta Pusat,Menteng,Laki-laki,4395
2017,Jakarta Pusat,Pegangsaan,Laki-laki,4222
2017,Jakarta Pusat,Cikini,Laki-laki,1405
2017,Jakarta Pusat,Gondangdia,Laki-laki,552
2017,Jakarta Pusat,Kebon Sirih,Laki-laki,2266
2017,Jakarta Pusat,Gelora,Laki-laki,536
2017,Jakarta Pusat,Bendungan Hilir,Laki-laki,3671
2017,Jakarta Pusat,Karet Tengsin,Laki-laki,3608
2017,Jakarta Pusat,Petamburan,Laki-laki,6732
2017,Jakarta Pusat,Kebon Melati,Laki-laki,6448
2017,Jakarta Pusat,Kebon Kacang,Laki-laki,3841
2017,Jakarta Pusat,Kampung Bali,Laki-laki,2215
2017,Jakarta Pusat,Johar Baru,Laki-laki,6817
2017,Jakarta Pusat,Kampung Rawa,Laki-laki,4284
2017,Jakarta Pusat,Galur,Laki-laki,3656
2017,Jakarta Pusat,Tanah Tinggi,Laki-laki,7454
2017,Jakarta Utara,Penjaringan,Laki-laki,16853
2017,Jakarta Utara,Kamal Muara,Laki-laki,2222
2017,Jakarta Utara,Kapuk Muara,Laki-laki,5926
2017,Jakarta Utara,Pejagalan,Laki-laki,12127
2017,Jakarta Utara,Pluit,Laki-laki,6492
2017,Jakarta Utara,Tanjung Priok,Laki-laki,6572
2017,Jakarta Utara,Sunter Jaya,Laki-laki,10684
2017,Jakarta Utara,Papanggo,Laki-laki,7316
2017,Jakarta Utara,Sungai Bambu,Laki-laki,5631
2017,Jakarta Utara,Kebon Bawang,Laki-laki,9443
2017,Jakarta Utara,Sunter Agung,Laki-laki,11563
2017,Jakarta Utara,Warakas,Laki-laki,8398
2017,Jakarta Utara,Koja,Laki-laki,5559
2017,Jakarta Utara,Tugu Utara,Laki-laki,13198
2017,Jakarta Utara,Lagoa,Laki-laki,11317
2017,Jakarta Utara,Rawa Badak Utara,Laki-laki,6534
2017,Jakarta Utara,Tugu Selatan,Laki-laki,7487
2017,Jakarta Utara,Rawa Badak Selatan,Laki-laki,8178
2017,Jakarta Utara,Cilincing,Laki-laki,8719
2017,Jakarta Utara,Sukapura,Laki-laki,10333
2017,Jakarta Utara,Marunda,Laki-laki,5752
2017,Jakarta Utara,Kali Baru,Laki-laki,14732
2017,Jakarta Utara,Semper Timur,Laki-laki,6832
2017,Jakarta Utara,Rorotan,Laki-laki,7913
2017,Jakarta Utara,Semper Barat,Laki-laki,13137
2017,Jakarta Utara,Pademangan Timur,Laki-laki,5851
2017,Jakarta Utara,Pademangan Barat,Laki-laki,14083
2017,Jakarta Utara,Ancol,Laki-laki,4410
2017,Jakarta Utara,Kelapa Gading Timur,Laki-laki,4818
2017,Jakarta Utara,Pegangsaan Dua,Laki-laki,7548
2017,Jakarta Utara,Kelapa Gading Barat,Laki-laki,5695
2017,Jakarta Barat,Cengkareng Barat,Laki-laki,10735
2017,Jakarta Barat,Duri Kosambi,Laki-laki,13014
2017,Jakarta Barat,Rawa Buaya,Laki-laki,10457
2017,Jakarta Barat,Kedaung Kali Angke,Laki-laki,5464
2017,Jakarta Barat,Kapuk,Laki-laki,23958
2017,Jakarta Barat,Cengkareng Timur,Laki-laki,13626
2017,Jakarta Barat,Grogol,Laki-laki,2381
2017,Jakarta Barat,Tanjung Duren Utara,Laki-laki,2348
2017,Jakarta Barat,Tomang,Laki-laki,4160
2017,Jakarta Barat,Jelambar,Laki-laki,4230
2017,Jakarta Barat,Tanjung Duren Selatan,Laki-laki,3439
2017,Jakarta Barat,Jelambar Baru,Laki-laki,5509
2017,Jakarta Barat,Wijaya Kusuma,Laki-laki,5956
2017,Jakarta Barat,Taman Sari,Laki-laki,1946
2017,Jakarta Barat,Krukut,Laki-laki,3001
2017,Jakarta Barat,Maphar,Laki-laki,2234
2017,Jakarta Barat,Tangki,Laki-laki,1745
2017,Jakarta Barat,Mangga Besar,Laki-laki,942
2017,Jakarta Barat,Keagungan,Laki-laki,2621
2017,Jakarta Barat,Glodok,Laki-laki,760
2017,Jakarta Barat,Pinangsia,Laki-laki,1526
2017,Jakarta Barat,Tambora,Laki-laki,1512
2017,Jakarta Barat,Kali Anyar,Laki-laki,4047
2017,Jakarta Barat,Duri Utara,Laki-laki,3231
2017,Jakarta Barat,Tanah Sereal,Laki-laki,3920
2017,Jakarta Barat,Kerendang,Laki-laki,3292
2017,Jakarta Barat,Jembatan Besi,Laki-laki,4983
2017,Jakarta Barat,Angke,Laki-laki,4666
2017,Jakarta Barat,Jembatan Lima,Laki-laki,3331
2017,Jakarta Barat,Pekojan,Laki-laki,3398
2017,Jakarta Barat,Roa Malaka,Laki-laki,375
2017,Jakarta Barat,Duri Selatan,Laki-laki,2223
2017,Jakarta Barat,Kebon Jeruk,Laki-laki,8396
2017,Jakarta Barat,Sukabumi Utara,Laki-laki,6309
2017,Jakarta Barat,Sukabumi Selatan,Laki-laki,6242
2017,Jakarta Barat,Kelapa Dua,Laki-laki,3747
2017,Jakarta Barat,Duri Kepa,Laki-laki,8477
2017,Jakarta Barat,Kedoya Utara,Laki-laki,6709
2017,Jakarta Barat,Kedoya Selatan,Laki-laki,4919
2017,Jakarta Barat,Kalideres,Laki-laki,11774
2017,Jakarta Barat,Semanan,Laki-laki,12759
2017,Jakarta Barat,Tegal Alur,Laki-laki,13877
2017,Jakarta Barat,Kamal,Laki-laki,9446
2017,Jakarta Barat,Pegadungan,Laki-laki,11979
2017,Jakarta Barat,Palmerah,Laki-laki,9888
2017,Jakarta Barat,Slipi,Laki-laki,2740
2017,Jakarta Barat,Kota Bambu Utara,Laki-laki,4345
2017,Jakarta Barat,Jati Pulo,Laki-laki,4762
2017,Jakarta Barat,Kemanggisan,Laki-laki,4975
2017,Jakarta Barat,Kota Bambu Selatan,Laki-laki,3713
2017,Jakarta Barat,Kembangan Utara,Laki-laki,9133
2017,Jakarta Barat,Meruya Utara,Laki-laki,6907
2017,Jakarta Barat,Meruya Selatan,Laki-laki,5338
2017,Jakarta Barat,Srengseng,Laki-laki,7486
2017,Jakarta Barat,Joglo,Laki-laki,6761
2017,Jakarta Barat,Kembangan Selatan,Laki-laki,3917
2017,Jakarta Selatan,Tebet Timur,Laki-laki,2749
2017,Jakarta Selatan,Tebet Barat,Laki-laki,3232
2017,Jakarta Selatan,Menteng Dalam,Laki-laki,6370
2017,Jakarta Selatan,Kebon Baru,Laki-laki,6366
2017,Jakarta Selatan,Bukit Duri,Laki-laki,6166
2017,Jakarta Selatan,Manggarai Selatan,Laki-laki,4001
2017,Jakarta Selatan,Manggarai,Laki-laki,5116
2017,Jakarta Selatan,Setia Budi,Laki-laki,433
2017,Jakarta Selatan,Karet Semanggi,Laki-laki,400
2017,Jakarta Selatan,Karet Kuningan,Laki-laki,2676
2017,Jakarta Selatan,Karet,Laki-laki,1599
2017,Jakarta Selatan,Menteng Atas,Laki-laki,4876
2017,Jakarta Selatan,Pasar Manggis,Laki-laki,4764
2017,Jakarta Selatan,Guntur,Laki-laki,523
2017,Jakarta Selatan,Kuningan Timur,Laki-laki,1017
2017,Jakarta Selatan,Mampang Prapatan,Laki-laki,3316
2017,Jakarta Selatan,Bangka,Laki-laki,3664
2017,Jakarta Selatan,Pela Mampang,Laki-laki,7445
2017,Jakarta Selatan,Tegal Parang,Laki-laki,5975
2017,Jakarta Selatan,Kuningan Barat,Laki-laki,2331
2017,Jakarta Selatan,Pasar Minggu,Laki-laki,4012
2017,Jakarta Selatan,Jati Padang,Laki-laki,6315
2017,Jakarta Selatan,Cilandak Timur,Laki-laki,4365
2017,Jakarta Selatan,Ragunan,Laki-laki,6762
2017,Jakarta Selatan,Pejaten Timur,Laki-laki,10284
2017,Jakarta Selatan,Pejaten Barat,Laki-laki,6147
2017,Jakarta Selatan,Kebagusan,Laki-laki,7835
2017,Jakarta Selatan,Kebayoran Lama Utara,Laki-laki,7355
2017,Jakarta Selatan,Pondok Pinang,Laki-laki,8987
2017,Jakarta Selatan,Cipulir,Laki-laki,6717
2017,Jakarta Selatan,Grogol Utara,Laki-laki,7282
2017,Jakarta Selatan,Grogol Selatan,Laki-laki,7370
2017,Jakarta Selatan,Kebayoran Lama Selatan,Laki-laki,6866
2017,Jakarta Selatan,Cilandak Barat,Laki-laki,8334
2017,Jakarta Selatan,Lebak Bulus,Laki-laki,5940
2017,Jakarta Selatan,Pondok Labu,Laki-laki,7732
2017,Jakarta Selatan,Gandaria Selatan,Laki-laki,3651
2017,Jakarta Selatan,Cipete Selatan,Laki-laki,4411
2017,Jakarta Selatan,Melawai,Laki-laki,302
2017,Jakarta Selatan,Gunung,Laki-laki,1372
2017,Jakarta Selatan,Kramat Pela,Laki-laki,2322
2017,Jakarta Selatan,Selong,Laki-laki,361
2017,Jakarta Selatan,Rawa Barat,Laki-laki,773
2017,Jakarta Selatan,Senayan,Laki-laki,412
2017,Jakarta Selatan,Pulo,Laki-laki,771
2017,Jakarta Selatan,Petogogan,Laki-laki,1791
2017,Jakarta Selatan,Gandaria Utara,Laki-laki,6339
2017,Jakarta Selatan,Cipete Utara,Laki-laki,5756
2017,Jakarta Selatan,Pancoran,Laki-laki,3397
2017,Jakarta Selatan,Kalibata,Laki-laki,7229
2017,Jakarta Selatan,Rawa Jati,Laki-laki,3141
2017,Jakarta Selatan,Duren Tiga,Laki-laki,4769
2017,Jakarta Selatan,Pengadegan,Laki-laki,3339
2017,Jakarta Selatan,Cikoko,Laki-laki,1838
2017,Jakarta Selatan,Jagakarsa,Laki-laki,10680
2017,Jakarta Selatan,Srengseng Sawah,Laki-laki,9990
2017,Jakarta Selatan,Ciganjur,Laki-laki,6439
2017,Jakarta Selatan,Lenteng Agung,Laki-laki,9600
2017,Jakarta Selatan,Tanjung Barat,Laki-laki,6838
2017,Jakarta Selatan,Cipedak,Laki-laki,6574
2017,Jakarta Selatan,Pesanggrahan,Laki-laki,4826
2017,Jakarta Selatan,Bintaro,Laki-laki,9001
2017,Jakarta Selatan,Petukangan Utara,Laki-laki,9378
2017,Jakarta Selatan,Petukangan Selatan,Laki-laki,6215
2017,Jakarta Selatan,Ulujami,Laki-laki,7177
2017,Jakarta Timur,Pisangan Baru,Laki-laki,5510
2017,Jakarta Timur,Utan Kayu Utara,Laki-laki,4956
2017,Jakarta Timur,Kayu Manis,Laki-laki,4389
2017,Jakarta Timur,Pal Meriam,Laki-laki,3189
2017,Jakarta Timur,Kebon Manggis,Laki-laki,2732
2017,Jakarta Timur,Utan Kayu Selatan,Laki-laki,5596
2017,Jakarta Timur,Pulo Gadung,Laki-laki,5650
2017,Jakarta Timur,Pisangan Timur,Laki-laki,7126
2017,Jakarta Timur,Cipinang,Laki-laki,6756
2017,Jakarta Timur,Jatinegara Kaum,Laki-laki,4377
2017,Jakarta Timur,Rawamangun,Laki-laki,6150
2017,Jakarta Timur,Kayu Putih,Laki-laki,6552
2017,Jakarta Timur,Jati,Laki-laki,5284
2017,Jakarta Timur,Kampung Melayu,Laki-laki,4848
2017,Jakarta Timur,Bidara Cina,Laki-laki,6073
2017,Jakarta Timur,Bali Mester,Laki-laki,1411
2017,Jakarta Timur,Rawa Bunga,Laki-laki,3814
2017,Jakarta Timur,Cipinang Cempedak,Laki-laki,5126
2017,Jakarta Timur,Cipinang Muara,Laki-laki,9237
2017,Jakarta Timur,Cipinang Besar Selatan,Laki-laki,6177
2017,Jakarta Timur,Cipinang Besar Utara,Laki-laki,8835
2017,Jakarta Timur,Kramat Jati,Laki-laki,5849
2017,Jakarta Timur,Kampung Tengah,Laki-laki,7995
2017,Jakarta Timur,Dukuh,Laki-laki,4439
2017,Jakarta Timur,Batu Ampar,Laki-laki,8278
2017,Jakarta Timur,Bale Kambang,Laki-laki,4993
2017,Jakarta Timur,Cililitan,Laki-laki,6928
2017,Jakarta Timur,Cawang,Laki-laki,5702
2017,Jakarta Timur,Gedong,Laki-laki,6131
2017,Jakarta Timur,Baru,Laki-laki,4540
2017,Jakarta Timur,Cijantung,Laki-laki,6952
2017,Jakarta Timur,Kalisari,Laki-laki,7373
2017,Jakarta Timur,Pekayon,Laki-laki,7539
2017,Jakarta Timur,Jatinegara,Laki-laki,15386
2017,Jakarta Timur,Rawa Terate,Laki-laki,4710
2017,Jakarta Timur,Penggilingan,Laki-laki,17644
2017,Jakarta Timur,Cakung Timur,Laki-laki,10370
2017,Jakarta Timur,Pulo Gebang,Laki-laki,16506
2017,Jakarta Timur,Ujung Menteng,Laki-laki,5210
2017,Jakarta Timur,Cakung Barat,Laki-laki,11022
2017,Jakarta Timur,Duren Sawit,Laki-laki,9981
2017,Jakarta Timur,Pondok Bambu,Laki-laki,10115
2017,Jakarta Timur,Klender,Laki-laki,12648
2017,Jakarta Timur,Pondok Kelapa,Laki-laki,11494
2017,Jakarta Timur,Malaka Sari,Laki-laki,4677
2017,Jakarta Timur,Malaka Jaya,Laki-laki,5332
2017,Jakarta Timur,Pondok Kopi,Laki-laki,5945
2017,Jakarta Timur,Makasar,Laki-laki,5883
2017,Jakarta Timur,Pinang Ranti,Laki-laki,4665
2017,Jakarta Timur,Kebon Pala,Laki-laki,8059
2017,Jakarta Timur,Halim Perdana Kusumah,Laki-laki,5207
2017,Jakarta Timur,Cipinang Melayu,Laki-laki,7274
2017,Jakarta Timur,Ciracas,Laki-laki,11091
2017,Jakarta Timur,Cibubur,Laki-laki,11379
2017,Jakarta Timur,Kelapa Dua Wetan,Laki-laki,7437
2017,Jakarta Timur,Susukan,Laki-laki,6476
2017,Jakarta Timur,Rambutan,Laki-laki,6609
2017,Jakarta Timur,Cipayung,Laki-laki,4479
2017,Jakarta Timur,Cilangkap,Laki-laki,4835
2017,Jakarta Timur,Pondok Ranggon,Laki-laki,4414
2017,Jakarta Timur,Munjul,Laki-laki,4126
2017,Jakarta Timur,Setu,Laki-laki,3548
2017,Jakarta Timur,Bambu Apus,Laki-laki,4358
2017,Jakarta Timur,Lubang Buaya,Laki-laki,11288
