pemakai,jumlah_uttp,alamat,kota,diuji_oleh,hasil_pengujian,tanggal_uji,masa_berlaku
KEMENTERIAN ESDM CQ DIREKTORAT JENDERAL MINYAK DAN GAS,2,Jl. HR. Rasuna Said Kav. B.5,Jakarta Selatan,"Momon Duliman, ST., Penera Muda",TUS,2016-09-07,2017-09-07
PT. AKR CORPORINDO TBK,3,"POM Pelayanan ADF JICT, Tanjung Priok ",Jakarta Utara,"Endarto, SE., ST., Penera Muda",TUS,2016-02-09,2017-02-09
"PT. AKR CORPORINDO, Tbk",2,"Gudang AKR Marunda II, KBN Marunda, Jl. Semarang Blok A-6 No. 2",Jakarta Utara,"Momon Duliman, ST., Penera Muda",TUS,2016-03-28,2017-03-28
SPBB 37-0115,8,Jl. Dermaga Muara Angke,Jakarta Utara,"Endarto, SE., ST., Penera Muda",TUS,2016-10-19,2017-10-19
SPBG A 34.02.02,8,"Jl. Raya Daan Mogot, No. 94-95 Pesing",Jakarta Barat,"Momon Duliman, ST., Penera Muda",TUS,2016-06-02,2017-06-02
SPBG COCO 31.A.12503,8,"Jl. RM. Harsono Rt. 07/04 No. 1, Ragunan, Pasar Minggu",Jakarta Selatan,"Momon Duliman, ST., Penera Muda",TUS,2016-04-23,2017-04-23
SPBG COCO 31A.124.02,8,"Jl. Lebak Bulus Raya No. 56,",Jakarta Selatan,"Momon Duliman, ST., Penera Muda",TUS,2016-06-14,2017-06-14
SPBG COCO 31A-11401,4,Jl. Daan Mogot Raya No. 2 ,Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-01-21,2017-01-21
SPBG COCO A 31.03.03,4,Jl. Raya Bogor Km. 28 Gandaria,Jakarta Timur,"Momon Duliman, ST., Penera Muda",TUS,2016-02-23,2017-02-23
SPBG ENVOGAS,8,Cililitan,Jakarta Timur,"Momon Duliman, ST., Penera Muda",TUS,2016-07-15,2017-07-15
SPBG GAGAS - JUP,2,Terminal Halte Busway Jaya Ancol,Jakarta Utara,"Momon Duliman, ST., Penera Muda",TS,2016-05-09,2017-05-09
SPBG HEK KRAMAT JATI,2,"Jl. Raya Pondok Gede No. 2, Hek, Kramat Jati",Jakarta Timur,"Momon Duliman, ST., Penera Muda",TS,2016-07-21,2017-07-21
SPBG MOBILE REFUELLING UNIT (MRU) PT. GAGAS ENERGI INDONESIA,6,Kawasan IRTI Monas,Jakarta Pusat,"Momon Duliman, ST., Penera Muda",TUS,2016-02-15,2017-02-15
SPBG MRU Pluit,2,"Taman Putra Putri, Pluit",Jakarta Utara,"Momon Duliman, ST., Penera Muda",TS,2016-08-03,2017-08-03
SPBG PT. GAGAS ENERGI INDONESIA,2,"Kantor Pusat PGN, Jl. Kyai haji Zaenal Arifin No. 20",Jakarta Pusat,"Momon Duliman, ST., Penera Muda",TUS,2016-02-22,2017-02-22
SPBKB AKR KAPUK,16,"Jl. Kapuk Raya No. 17, Kapuk Muara, Penjaringan",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-08-16,2017-08-16
SPBP MABES POLRI,8,"Jl. Trunojoyo No. 3, Kebayoran Baru",Jakarta Selatan,"Tri Sulistiyono, ST., Penera Muda",TUS,2016-03-16,2017-03-16
SPBP POLDA METRO JAYA,4,Jl. Jend. Sudirman 55,Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-11-04,2017-11-04
SPBP POLRES JAKARTA BARAT,2,Jl. S. Parman 31,Jakarta Barat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-10-12,2017-10-12
SPBT 32-0319,4,"Jl. RA. Fadillah, Cijantung III, Pasar Rebo",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-30,2017-03-30
SPBT 32-10201,2,"Rumkital dr. Mintoharjo, Jl. Bendungan Hilir 17",Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-04-11,2017-04-11
SPBT 32-10701,4,"Jl. Budi Utomo, ",Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-09-01,2017-09-01
SPBT 32-12402,2,"Jl. Jati No. 1 Pondok Labu, Cilandak",Jakarta Selatan,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-11,2017-03-11
SPBT 32-13301,2,"Jl. Urip Sumoharjo, Jatinegara",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-09-01,2017-09-01
SPBT 32-13603,6,"SPBT Kemhan, Jl. MT. Haryono Cawang",Jakarta Timur,"Misdar, ST., Penera Madya",TS,2016-11-01,2017-11-01
SPBT 32-13802,12,Jl. Mabes Hankam Cilangkap,Jakarta Timur,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-06-16,2017-06-16
SPBT 32-14201,4,Denma Lantamal III - Jl. Tabah Raya Sunter Kodamar,Jakarta Utara,"Akhmadi, Penera Penyelia",TUS,2016-11-14,2017-11-14
SPBT 32-204,2,"Jl. Raya Bogor, Kramat Jati",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-30,2017-03-30
SPBT 32-210,3,"Makodam Jaya, Jl. Mayjen Sutoyo, Cililitan",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-30,2017-03-30
SPBT 32-615,1,"Den Mabesad, Jl. Katedral",Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-09-01,2017-09-01
SPBT DB 32-12401,4,Kesatrian Marinir Cilandak,Jakarta Selatan,"Abdul Latief, ST.,  Penera Madya",TUS,2016-02-10,2017-02-10
SPBT DB 32-12402,3,"Kodamar, Sunter",Jakarta Utara,"Abdul Latief, ST.,  Penera Madya",TUS,2016-02-10,2017-02-10
SPBT KOPASSUS (DB32-0406),4,Cijantung,Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-10-27,2017-10-27
SPBT SATBEK DENMA TNI CILANGKAP,2,Cilangkap,Jakarta Timur,"Momon Duliman, ST., Penera Muda",TUS,2016-08-25,2017-08-25
SPBU 31-10202,62,Jl. Abdul Muis No. 68 Petojo Gambir,Jakarta Pusat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-02-18,2017-02-18
SPBU 31-12902,83,"Jl. HR. Rasuna Said, Kuningan",Jakarta Selatan,"Us Us Suprianto, Penera Penyelia",TUS,2016-11-07,2017-11-07
SPBU 33-11301,40,Jl. Tubagus Angke No. 10,Jakarta Barat,"Nephy Supriyadi, Penera Penyelia",TUS,2016-02-16,2017-02-16
SPBU 33-13401,36,"Jl. Inspeksi Kalimalang, Pondok Kelapa, Duren Sawit",Jakarta Timur,"Misdar, ST., Penera Madya",TUS,2016-05-09,2017-05-09
SPBU 33-13402,52,"Jl. Kol. Soegiono, Duren Sawit",Jakarta Timur,"Daruseno Nugroho, Penera Penyelia",TUS,2016-10-17,2017-10-17
SPBU 33-14401,42,"Jl. Pluit Raya No. 3 Kel. Penjaringan, Kec. Penjaringan",Jakarta Utara,"Nugroho, ST., Penera Madya",TUS,2016-04-12,2017-04-12
SPBU 34 - 12901,37,"Jl. Minangkabau Timur No.33, Ps Manggis, Setia Budi",Jakarta Selatan,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-02-09,2017-02-09
SPBU 34 - 14416,28,"Jl. Pluit Permai Raya, Penjaringan",Jakarta Utara,"Subagyo, SE., MSi., Penera Madya",TUS,2016-02-05,2017-02-05
SPBU 34-10201,72,"Jl. Penjernihan I Pejompongan, Jakarta Pusat",Jakarta Pusat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-10-06,2017-10-06
SPBU 34-10203,30,"Jl. K.H. Mansyur, Tanah Abang",Jakarta Pusat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-09-20,2017-09-20
SPBU 34-10205,60,"Jl. Cideng Timur No. 50, Petojo Selatan, Gambir",Jakarta Pusat,"Misdar, ST., Penera Madya",TUS,2016-09-30,2017-09-30
SPBU 34-10206,30,Jl. Hanglekir I No.4,Jakarta Pusat,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-01-13,2017-01-13
SPBU 34-10301,2,Jl. Gereja Theresia,Jakarta,"Nephy Supriyadi, Penera Penyelia",TUS,2016-06-28,2017-06-28
SPBU 34-10402,20,Jl. Pramuka Raya No. 56-57,Jakarta Pusat,"Us Us Suprianto, Penera Penyelia",TUS,2016-09-30,2017-09-30
SPBU 34-10501,10,Jl. Pramuka Raya No. 68,Jakarta Pusat,"Budiyanto, Penera Muda",TUS,2016-02-16,2017-02-16
SPBU 34-10502,7,"Jl. Let. Jend. Suprapto, Cempaka Putih",Jakarta Pusat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-06-14,2017-06-14
SPBU 34-10504,12,Jl. Jend. A. Yani Kav. 48,Jakarta Pusat,"H. Andi Syafrudin, SE., MM., Penera Madya",TUS,2016-09-27,2017-09-27
SPBU 34-10505,26,"Jl. Letjend Suprapto No. 56, Tanah Tinggi, Johar Baru",Jakarta Pusat,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-08-24,2017-08-24
SPBU 34-10506,24,"Jl. Letjen Suprapto No. 1, Galur",Jakarta Pusat,"Momon Duliman, ST., Penera Muda",TUS,2016-06-28,2017-06-28
SPBU 34-10507,24,Jl. Cempaka Putih Raya Kav. 1-2,Jakarta Pusat,"Tri Sulistiyono, ST., Penera Muda",TUS,2016-06-24,2017-06-24
SPBU 34-10603,18,Jl. Gunung Sahari Raya No. 2,Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-05-17,2017-05-17
SPBU 34-10604,24,Jl. Bungur Besar Raya No. 103,Jakarta,"Sunoto, ST., Penera Madya",TUS,2016-02-18,2017-02-18
SPBU 34-10605,34,Jl. Letjend Suprapto Kav. 26,Jakarta Pusat,"Tri Sulistiyono, ST., Penera Muda",TUS,2016-07-27,2017-07-27
SPBU 34-10701,2,Jl. Batu Ceper No. 91,Jakarta Pusat,"Warsono, SE., Penera Madya",TUS,2016-10-12,2017-10-12
SPBU 34-10702,20,Jl. Pangeran Jayakarta No. 111,Jakarta Pusat,"Wim Pito Sinurat, ST., Penera Muda",TUS,2016-01-21,2017-01-21
SPBU 34-11103,9,Jl. Raya KS Tubun No. 19-20 ,Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-04-12,2017-04-12
SPBU 34-11104,84,Jl. Hayam Wuruk No. 74-75,Jakarta Barat,"Momon Duliman, ST., Penera Muda",TUS,2016-08-11,2017-08-11
SPBU 34-11201,23,Jl. KH. Moh. Mansyu No. 133,Jakarta Barat,"Sunoto, ST., Penera Madya",TUS,2016-06-23,2017-06-23
SPBU 34-11301,44,Jl. Prof. Dr. Latumenten No. 29,Jakarta Barat,"Tri Sulistiyono, ST., Penera Muda",TUS,2015-11-19,2016-11-19
SPBU 34-11403,10,Jl. Kemanggisan Utama Raya,Jakarta,"H. Andi Syafrudin, SE., MM., Penera Madya",TUS,2016-03-14,2017-03-14
SPBU 34-11404,10,Jl. Kemanggisan Utama Raya 6 - 8,Jakarta Barat,"H. Andi Syafrudin, SE., MM., Penera Madya",TUS,2016-09-26,2017-09-26
SPBU 34-11405,82,"Jl. Palmerah Utara Raya No. 56, Palmerah",Jakarta Barat,"Sunoto, ST., Penera Madya",TUS,2016-09-20,2017-09-20
SPBU 34-11406,8,Jl. Kemanggisan Utama Raya 6 - 8,Jakarta Barat,"H. Andi Syafrudin, SE., MM., Penera Madya",TUS,2016-09-26,2017-09-26
SPBU 34-11407,48,Jl. Kemanggisan Utama Raya No. 52A,Jakarta Barat,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-11-03,2017-11-03
SPBU 34-11504,10,"Jl. Kedoya Raya No.14, Kebon Jeruk",Jakarta Barat,"Drs. Sugeng Purwanto, Penera Madya",TUS,2016-02-01,2017-02-01
SPBU 34-11505,10,Jl. Kebon Jeruk Raya No. 1,Jakarta Barat,"Sunoto, ST., Penera Madya",TUS,2016-03-31,2017-03-31
SPBU 34-11506,10,Jl. Kedoya Raya No. 23 Kebon Jeruk ,Jakarta Barat,"Akhmadi, Penera Penyelia",TUS,2016-05-20,2017-05-20
SPBU 34-11507,15,"Jl. Arteri Kelapa Dua, Kebon Jeruk",Jakarta Barat,"Warsono, SE., Penera Madya",TUS,2016-08-09,2017-08-09
SPBU 34-11508,32,Jl. Kelapa Dua Raya No. 15 Kebon Jeruk,Jakarta Barat,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-03-10,2017-03-10
SPBU 34-11509,8,Jl. Arteri Kelapa Dua Kebon Jeruk ,Jakarta Barat,"Jansen Sirait, SE., ST., MM., Penera Madya",TUS,2016-01-20,2017-01-20
SPBU 34-11510,40,Jl. Raya Panjang No. 38 Arteri Kedoya,Jakarta Barat,"Us Us Suprianto, Penera Penyelia",TUS,2016-10-26,2017-10-26
SPBU 34-11511,26,Jl. Raya Kemanggisan Batusari No. 14,Jakarta Barat,"Warsono, SE., Penera Madya",TUS,2016-06-23,2017-06-23
SPBU 34-11512,33,Jl. Panjang No. 45C Kebon Jeruk,Jakarta Barat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-02-22,2017-02-22
SPBU 34-11601,10,Jl. Meruya Ilir Srengseng,Jakarta Barat,"Misdar, ST., Penera Madya",TUS,2016-02-23,2017-02-23
SPBU 34-11602,2,JL. Puri Kembangan Raya No 81 ,Jakarta,"Moh. Kosasih, ST., Penera Madya",TUS,2016-01-26,2017-01-26
SPBU 34-11604,14,Jl. Raya Swadarma No. 16 Srengseng Ulujami,Jakarta Selatan,"Jansen Sirait, SE., ST., MM., Penera Madya",TUS,2016-08-16,2017-08-16
SPBU 34-11605,10,Jl. Meruya Ilir Blok H4 No. 1A Taman Aries ,Jakarta Barat,"Warsono, SE., Penera Madya",TUS,2016-03-23,2017-03-23
SPBU 34-11607,20,"Jl. Meruya utara Raya, kavling DKI Blok 7A/8",Jakarta,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-09-27,2017-09-27
SPBU 34-11608,30,"Jl. Pos Pengumben, Srengseng, Kembangan",Jakarta Barat,"Us Us Suprianto, Penera Penyelia",TUS,2016-09-22,2017-09-22
SPBU 34-11609,32,Jl. Joglo Raya no. 77,Jakarta Barat,"Us Us Suprianto, Penera Penyelia",TUS,2016-09-23,2017-09-23
SPBU 34-11611,28,Jl. Kembangan Raya Selatan No. 88,Jakarta Barat,"Nephy Supriyadi, Penera Penyelia",TUS,2016-10-20,2017-10-20
SPBU 34-11612,88,"Jl. Kembang Kerep 56, Meruya",Jakarta Barat,"Momon Duliman, ST., Penera Muda",TUS,2016-10-06,2017-10-06
SPBU 34-11703,16,Jl. Kamal Raya Cengkareng,Jakarta Barat,"Budiyanto, Penera Muda",TUS,2016-06-24,2017-06-24
SPBU 34-11704,16,Jl. Daan Mogot Raya No. 19,Jakarta Barat,"Nephy Supriyadi, Penera Penyelia",TUS,2016-03-10,2017-03-10
SPBU 34-11705,40,"Jl. Lingkar Luar Barat Pdk Randu, Duri Kosambi",Jakarta Barat,"Jansen Sirait, SE., ST., MM., Penera Madya",TUS,2016-01-22,2017-01-22
SPBU 34-11706,20,Jl. Daan Mogot Km. 14.5 Cengkareng,Jakarta Barat,"Suryatna, SAP., ST., Penera Muda",TUS,2016-06-09,2017-06-09
SPBU 34-11707,19,"Jl. Outer Ring Road, Cengkareng Barat",Jakarta Barat,"Us Us Suprianto, Penera Penyelia",TUS,2016-06-20,2017-06-20
SPBU 34-11708,14,"Jl. Raya Duri Kosambi No. 59, Duri Kosambi ",Jakarta,"Us Us Suprianto, Penera Penyelia",TUS,2016-04-06,2017-04-06
SPBU 34-11710,26,Jl. Lingkar Luar Cengkareng,Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-06-16,2017-06-16
SPBU 34-11711,39,"Jl. Cendrawasih Raya No.99, Cengkareng",Jakarta Barat,"Rizal Muchtar, SH., Penera Pelaksana Lanjutan",TUS,2015-12-28,2016-12-28
SPBU 34-11712,124,Jl. Daan Mogot Km. 12 No. 5,Jakarta Barat,"Tri Sulistiyono, ST., Penera Muda",TUS,2016-06-14,2017-06-14
SPBU 34-11714,43,"Jl. Lingkar Luar Barat No. 11 Rawa Buaya, Cengkareng",Jakarta Barat,"Nephy Supriyadi, Penera Penyelia",TUS,2016-06-17,2017-06-17
SPBU 34-11801,26,Jl. Peta Barat No. 3 Kalideres,Jakarta Barat,"Momon Duliman, ST., Penera Muda",TUS,2016-03-16,2017-03-16
SPBU 34-11802,11,"Jl. Kamal Raya No. 20, Tegal Alur Kalideres",Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-03-30,2017-03-30
SPBU 34-11804,22,Jl. Peta Barat No. 108 Kalideres,Jakarta Barat,"Momon Duliman, ST., Penera Muda",TUS,2016-06-17,2017-06-17
SPBU 34-11806,22,"Jl. Satu Maret Rt. 09 Rw. 04, Pegadungan, Kalideres",Jakarta Barat,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-08-22,2017-08-22
SPBU 34-12103,18,Jl. TB. Simatupang (Lingkar Selatan) No. 20 Cilandak Timur,Jakarta Selatan,"Fany Abast, ST., Penera Muda",TUS,2016-09-22,2017-09-22
SPBU 34-12105,10,Jl. Kemang Raya No. 39,Jakarta,"Budiyanto, Penera Muda",TUS,2016-04-11,2017-04-11
SPBU 34-12114,44,"Jl. Gandaria I No. 27-28. Kramat Pela, Kebayoran Baru",Jakarta Selatan,"Moh. Tharekat, ST., Penera Madya",TUS,2016-08-25,2017-08-25
SPBU 34-12115,84,"Jl. Radio Dalam Raya, Gandaria Utara, Kebayoran Baru",Jakarta Selatan,"Misdar, ST., Penera Madya",TUS,2016-10-07,2017-10-07
SPBU 34-12205,12,Jl. Palmerah Barat Raya No. 37,Jakarta Selatan,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-02-29,2017-03-01
