pemakai,jumlah_uttp,alamat,kota,diuji_oleh,hasil_pengujian,tanggal_uji,masa_berlaku
SPBU 34-14205,40,"Jl. Raya Boulevard Timur, Kelapa Gading Permai",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-10-05,2017-10-05
SPBU 34-14207,12,"Jl. Raya Plumpang, Semper No. 45",Jakarta Utara,"Abdul Latief, ST.,  Penera Madya",TUS,2016-05-19,2017-05-19
SPBU 34-14208,32,Jl. Boulevard Artha Gading Kav. No. 3 Kelapa Gading,Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-09-02,2017-09-02
SPBU 34-14210,64,Jl. Sentra Artha Gading Kav. D No. 2 Kelapa Gading,Jakarta Utara,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-09-21,2017-09-21
SPBU 34-14301,1,"Jl. Danau Sunter Utara, Nirwana Sunter Asri",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-06-28,2017-06-28
SPBU 34-14303       ,5,Jl. RE. Martadinata No.1,Jakarta Utara,"Subagyo, SE., MSi., Penera Madya",TUS,2016-01-21,2017-01-21
SPBU 34-14304,42,Jl. Tongkol No. 7,Jakarta Utara,"Daruseno Nugroho, Penera Penyelia",TUS,2016-06-14,2017-06-14
SPBU 34-14305,21,Jl. Sunter Kemayoran,Jakarta Utara,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-03-28,2017-03-28
SPBU 34-14306,15,Jl. Danau Sunter Selatan,Jakarta Utara,"Akhmadi, Penera Penyelia",TUS,2016-02-10,2017-02-10
SPBU 34-14307,38,Jl. Danau Sunter Selatan Blok O5/10,Jakarta Utara,"Rizal Muchtar, SH., Penera Pelaksana Lanjutan",TUS,2016-08-05,2017-08-05
SPBU 34-14308,22,Jl. Raya Enggano No. 14-16 Tanjung Priok,Jakarta Utara,"Nugroho, ST., Penera Madya",TUS,2016-03-01,2017-03-01
SPBU 34-14310,2,"Jl. Gaya Motor Raya No. 13, Sunter",Jakarta Utara,"Minsa Ika Dj. S., Penera Penyelia",TUS,2016-08-30,2017-08-30
SPBU 34-14401,56,"Jl. Pluit Raya Selatan, Penjaringan",Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-09-27,2017-09-27
SPBU 34-14402,4,Jl. Lodan Timur No. 7 Marina Ancol,Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-05-12,2017-05-12
SPBU 34-14403,33,"Jl. Pluit Raya Selatan, Penjaringan",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-10-24,2017-10-24
SPBU 34-14404,17,Jl. Raya Kapuk Kamal,Jakarta Utara,"Misdar, ST., Penera Madya",TUS,2016-10-25,2017-10-25
SPBU 34-14405,8,Jl. Kampung Bandan 30-31,Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-03-16,2017-03-16
SPBU 34-14406,32,Jl. Dermaga Muara Angke,Jakarta Utara,"Subagyo, SE., MSi., Penera Madya",TUS,2016-04-22,2017-04-22
SPBU 34-14407,30,Jl. Jembatan Tiga Blok F 4-5 Penjaringan,Jakarta Utara,"Fany Abast, ST., Penera Muda",TUS,2016-06-02,2017-06-02
SPBU 34-14408,15,"Jl. Budi Mulya, Pademangan Barat",Jakarta Utara,"Abdul Latief, ST.,  Penera Madya",TUS,2016-06-01,2017-06-01
SPBU 34-14409,16,Jl. Kapuk Kamal Raya No. 33,Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-06-22,2017-06-22
SPBU 34-14410 KAPUK KAMAL,8,"JL. Kapuk Kamal RT 0001/RW 003, Kapuk Muara, Penjaringan",Jakarta Utara,"Wim Pito Sinurat, ST., Penera Muda",TUS,2015-11-20,2016-11-20
SPBU 34-14411,28,Jl. Kapuk Kamal Raya,Jakarta Utara,"Sunoto, ST., Penera Madya",TUS,2016-05-31,2017-05-31
SPBU 34-14412,4,"Jl. Tuna Raya Pelabuhan Perikanan, Samudera Muara Baru",Jakarta Utara,"Subagyo, SE., MSi., Penera Madya",TUS,2016-05-17,2017-05-17
SPBU 34-14413,50,"Jl. Benyamin Sueb C-5/4 Kota Baru, Bandar Kemayoran",Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-06-24,2017-07-02
SPBU 34-14415,60,"Jl. Bukit Golf Mediterania, PIK",Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-10-05,2017-10-05
SPBU COCO 31.12702,44,JL. Kapten Tendean No. 38 ,Jakarta Selatan,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-01-27,2017-01-27
SPBU COCO 31-10303,48,Jl. Cikini Raya,Jakarta Pusat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-06-08,2017-06-08
SPBU COCO 31-10703,24,Jl. Mangga Besar Raya No. 140,Jakarta Pusat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-04-08,2017-04-08
SPBU COCO 31-11403,48,Jl. Raya Daan Mogot Raya No. 2,Jakarta Barat,"Sunoto, ST., Penera Madya",TUS,2016-07-21,2017-07-21
SPBU COCO 31-11404,22,Jl. Tomang Raya No. 42,Jakarta Barat,"Tri Sulistiyono, ST., Penera Muda",TUS,2016-09-15,2017-09-15
SPBU COCO 31-11802,32,"Jl. Daan Mogot Raya Km. 16, Kalideres",Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-08-22,2017-08-22
SPBU COCO 31-12203,22,Jl. Tentara Pelajar No. 5 Arteri Permata Hijau,Jakarta Selatan,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-06-08,2017-06-08
SPBU COCO 31-12204,32,"Jl. Sultan Iskandar Muda, Rt. 11/09 Pondok Indah",Jakarta Selatan,"Widyo Laksono, ST., Penera Ahli Madya",TUS,2016-06-15,2017-06-15
SPBU COCO 31-12401,28,Jl. Raya Fatmawati,Jakarta Selatan,"Us Us Suprianto, Penera Penyelia",TUS,2016-07-12,2017-07-12
SPBU COCO 31-12402,64,"Jl. RS. Fatmawati No. 16, Cilandak",Jakarta Selatan,"Us Us Suprianto, Penera Penyelia",TUS,2016-09-29,2017-09-29
SPBU COCO 31-12601,2,Jl. Raya Lenteng Agung,Jakarta Selatan,"Budiyanto, Penera Muda",TUS,2016-03-16,2017-03-16
SPBU COCO 31-12701,32,"Jl. Kemang Selatan Raya No. 105A, Kemang",Jakarta Selatan,"Sunoto, ST., Penera Madya",TUS,2016-06-27,2017-06-27
SPBU COCO 31-12802,64,Jl. MT. Haryono Kav. 18,Jakarta Selatan,"Moh. Kosasih, ST., Penera Madya",TUS,2016-08-24,2017-08-24
SPBU COCO 31-13101,50,Jl. Raya Pramuka No.18 A,Jakarta Timur,"P. Maulana M. Hutagalung, SH., Penera Madya",TUS,2015-12-22,2016-12-22
SPBU COCO 31-13301,20,Jl. Otto Iskandardinata,Jakarta Timur,"Nephy Supriyadi, Penera Penyelia",TUS,2016-07-28,2017-07-28
SPBU COCO 31-13401,20,"Jl. Raya Bekasi Timur Km. 17, Jatinegara Kaum Pulogadung",Jakarta Timur,"Budiyanto, Penera Muda",TUS,2016-06-17,2017-06-17
SPBU COCO 31-13602,24,"Jl. Mayjen Sutoyo, Cililitan",Jakarta Timur,"Moh. Kosasih, ST., Penera Madya",TUS,2016-11-14,2017-11-14
SPBU COCO 31-13701,30,"Jl. Raya Bogor Km. 28-29, Kel. Pekayon, Pasar Rebo",Jakarta Timur,"Moh. Tharekat, ST., Penera Madya",TUS,2016-07-25,2017-07-25
SPBU COCO 31-13901,28,Jl. Raya Bekasi Km. 23 Cakung,Jakarta Timur,"Sunoto, ST., Penera Madya",TUS,2016-03-14,2017-03-14
SPBU COCO 31-14301,38,"Jl. Yos Sudarso Kav.205, Sunter",Jakarta Timur,"Moh. Kosasih, ST., Penera Madya",TUS,2016-01-07,2017-01-07
SPBU COCO PERTAMINA 31-11401,38,Jl. S. Parman Kav. 70,Jakarta Barat,"Heri Purwanto, ST, Penera Pertama",TUS,2015-12-29,2016-12-29
SPBU KSO 33-14201,20,Jl. Pegangsaan Dua No. 81 Kelapa Gading,Jakarta Utara,"Tonton A. Hidayat, ST., Penera Madya",TUS,2016-05-26,2017-05-26
SPBU SHELL A. YANI,28,Jl. A. Yani Kav.51 Rawasari,Jakarta Timur,"Arief Budiman, ST. SE., Penera Madya",TUS,2016-01-07,2017-01-07
SPBU SHELL ANTASARI 2,32,Jl. Raya Pangeran Antasari No. 68 ,Jakarta Selatan,"Daruseno Nugroho, Penera Penyelia",TUS,2016-06-28,2017-06-28
SPBU SHELL ARJUNA,32,"Jl. Raya Arjuna No. 60, Kebon Jeruk",Jakarta Barat,"Us Us Suprianto, Penera Penyelia",TUS,2016-07-13,2017-07-13
SPBU SHELL ARTHA GADING,34,Jl. Boulevard Timur Kelapa Gading,Jakarta Utara,"Nugroho, ST., Penera Madya",TUS,2016-06-23,2017-06-23
SPBU SHELL CAKUNG,23,Jl. Raya Bekasi Km.23,Jakarta Timur,"Akhmadi, Penera Penyelia",TUS,2016-01-06,2017-01-06
SPBU SHELL CIPINANG,32,Jl. Raya Bekasi Timur,Jakarta Timur,"Sunoto, ST., Penera Madya",TUS,2016-08-31,2017-08-31
SPBU SHELL CIPUTAT,28,Jl. Raya Ciputat No. 45,Jakarta Selatan,"Abdul Latief, ST.,  Penera Madya",TUS,2016-10-26,2017-10-26
SPBU SHELL CIPUTAT ESTU,52,Jl. Ciputat Raya No. 100,Jakarta Selatan,"Moh. Kosasih, ST., Penera Madya",TUS,2016-09-27,2017-09-27
SPBU SHELL DAAN MOGOT,48,Jl. Raya Daan Mogot,Jakarta Barat,"Misdar, ST., Penera Madya",TUS,2015-12-29,2016-12-29
SPBU SHELL DAAN MOGOT 2,26,Jl. Raya Daan Mogot,Jakarta Barat,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-05-24,2017-05-24
SPBU SHELL DANAU SUNTER SELATAN,24,Jl. Raya Danau Sunter Selatan,Jakarta Utara,"Tonton A. Hidayat, ST., Penera Madya",TUS,2016-06-16,2017-06-16
SPBU SHELL FATMAWATI,30,Jl. Rumah Sakit Fatmawati,Jakarta Selatan,"Sunoto, ST., Penera Madya",TUS,2016-06-01,2017-06-01
SPBU SHELL GATOT SUBROTO,40,"Jl. Gatot Subroto Kav. 76, Jakarta Selatan",Jakarta Selatan,"Warsono, SE., Penera Madya",TUS,2016-10-18,2017-10-18
SPBU SHELL JATIWARINGIN,20,Jl. Raya Jatiwaringin,Jakarta Timur,"Tri Sulistiyono, ST., Penera Muda",TUS,2016-07-26,2017-07-26
SPBU SHELL KEDOYA,26,Jl. Raya Kedoya,Jakarta Barat,"Wim Pito Sinurat, ST., Penera Muda",TUS,2016-06-30,2017-06-30
SPBU SHELL KEMANG,32,Jl. Raya Kemang No. 33,Jakarta Selatan,"Akhmadi, Penera Penyelia",TUS,2016-08-11,2017-08-11
SPBU SHELL KEMANGGISAN,64,Kemanggisan,Jakarta Barat,"Daruseno Nugroho, Penera Penyelia",TUS,2016-09-22,2017-09-22
SPBU SHELL KEMAYORAN I,32,Jl. Industri Kemayoran,Jakarta Pusat,"Subagyo, SE., MSi., Penera Madya",TUS,2016-07-27,2017-07-27
SPBU SHELL KEMBANGAN,32,Jl. Raya Kembangan,Jakarta Barat,"Endarto, SE., ST., Penera Muda",TUS,2016-07-28,2017-07-28
SPBU SHELL KYAI TAPA,26,Jl. Raya Kyai Tapa Grogol,Jakarta Barat,"Jansen Sirait, SE., ST., MM., Penera Madya",TUS,2016-10-16,2017-10-16
SPBU SHELL LAPANGAN ROS,56,"Jl. Lapangan Ros No. 1-2, Tebet Timur",Jakarta Selatan,"Misdar, ST., Penera Madya",TUS,2016-10-10,2017-10-10
SPBU SHELL LATUMENTEN,26,"Jl. Raya Latumenten, Grogol",Jakarta Barat,"Jansen Sirait, SE., ST., MM., Penera Madya",TUS,2016-08-25,2017-08-25
SPBU SHELL MAMPANG,20,Jl. Raya Mampang Prapatan Raya No. 75B,Jakarta Selatan,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-08-09,2017-08-09
SPBU SHELL MENTENG,38,Jl. Menteng Raya Kav. 25,Jakarta Pusat,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-10-24,2017-10-24
SPBU SHELL MT. HARYONO 1,42,Jl. MT. haryono Kav. 25,Jakarta Timur,"Sunoto, ST., Penera Madya",TUS,2016-06-13,2017-06-13
SPBU SHELL PANJANG,28,Jl. Raya Panjang Kelapa Dua Kebun Jeruk,Jakarta Barat,"Nephy Supriyadi, Penera Penyelia",TUS,2016-10-28,2017-10-28
SPBU SHELL PASAR MINGGU,48,Jl. Raya Pasar Minggu No. 10,Jakarta Selatan,"Widyo Laksono, ST., Penera Ahli Madya",TUS,2016-10-10,2017-10-10
SPBU SHELL PEMUDA 1,32,Jl. Raya Pemuda Rawamangun,Jakarta Timur,"Warsono, SE., Penera Madya",TUS,2016-08-01,2017-08-01
SPBU SHELL PLUIT SELATAN,80,Jl. Pluit Selatan Raya 7,Jakarta Utara,"Sunoto, ST., Penera Madya",TUS,2016-10-12,2017-10-12
SPBU SHELL PONDOK INDAH,40,Jl. Iskandar Muda No. 120,Jakarta Selatan,"Daruseno Nugroho, Penera Penyelia",TUS,2016-08-15,2017-08-15
SPBU SHELL POS PENGUMBEN,40,Jl. Raya Pos Pengumben No. 168,Jakarta Barat,"Endarto, SE., ST., Penera Muda",TUS,2016-08-10,2017-08-10
SPBU SHELL POS PENGUMBEN 2,26,Jl. Raya Joglo No. 8B,Jakarta Barat,"Misdar, ST., Penera Madya",TUS,2016-06-17,2017-06-17
SPBU SHELL RADIO DALAM,56,Jl. Radio Dalam Raya,Jakarta Selatan,"Warsono, SE., Penera Madya",TUS,2016-09-07,2017-09-07
SPBU SHELL RAWA BUAYA,22,"Jl. Rawa Buaya, Cengkareng",Jakarta Barat,"Minsa Ika Dj. S., Penera Penyelia",TUS,2016-10-13,2017-10-13
SPBU SHELL S. PARMAN,80,Jl. Letjend. S. Parman,Jakarta Barat,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-09-19,2017-09-19
SPBU SHELL SATRIO,44,"Jl. Dr. Satrio No. 241, Karet Kuningan",Jakarta Selatan,"Suryatna, SAP., ST., Penera Muda",TUS,2016-08-29,2017-08-29
SPBU SHELL SOEPOMO,41,Jl. Dr. Soepomo No. 102,Jakarta Selatan,"Misdar, ST., Penera Madya",TUS,2016-08-24,2017-08-24
SPBU SHELL SOEROSO,32,Jl. Raya Soeroso No. 27-29 Cikini,Jakarta Pusat,"Nephy Supriyadi, Penera Penyelia",TUS,2016-08-15,2017-08-15
SPBU SHELL SUNTER 2,32,Jl. Raya Danau Sunter Utara,Jakarta Utara,"Abdul Latief, ST.,  Penera Madya",TUS,2016-06-09,2017-06-09
SPBU SHELL TB. SIMATUPANG,88,Jl. TB Simatupang,Jakarta Selatan,"Daruseno Nugroho, Penera Penyelia",TUS,2016-10-11,2017-10-11
SPBU SHELL TENDEAN,40,Jl. Kapt. Tendean Kav. 15,Jakarta Selatan,"Arief Budiman, ST. SE., Penera Madya",TUS,2016-09-05,2017-09-05
SPBU SHELL WARUNG JATI,40,Jl. Warung Jati Barat No. 20 Pejaten,Jakarta Selatan,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-09-22,2017-09-22
SPBU SHELL YOS SUDARSO,26,Jl. Yos Sudarso Kav. 48,Jakarta Utara,"Anung Priyanto, Penera Madya",TUS,2016-10-26,2017-10-26
SPBU TOTAL,22,"Jl. Warung Jati Barat Rt. 12 Rw. 9, Kalibata, Pancoran",Jakarta Selatan,"Nephy Supriyadi, Penera Penyelia",TUS,2016-06-14,2017-06-14
SPBU TOTAL HANKAM,22,"Jl. Raya Hankam, Bambu Apus",Jakarta Timur,"Daruseno Nugroho, Penera Penyelia",TUS,2016-06-17,2017-06-17
SPBU TOTAL KEDOYA,30,"JL. Panjang No. 123 , Kedoya",Jakarta Barat,"Wim Pito Sinurat, ST., Penera Muda",TUS,2016-01-27,2017-01-27
SPBU TOTAL KEMANG,22,Jl. Kemang Raya,Jakarta Selatan,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-08-30,2017-08-30
SPBU TOTAL MT. HARYONO,20,Jl. MT Haryono Kav.12 No.8,Jakarta Selatan,"Sunoto, ST., Penera Madya",TUS,2015-12-29,2016-12-29
SPBU TOTAL PASAR MINGGU,16,Jl. Pasar Minggu No. 40 - 41 Pancoran,Jakarta Selatan,"Akhmadi, Penera Penyelia",TUS,2016-03-04,2017-03-04
SPBU TOTAL PEJATEN,20,"Jl. Warung Jati Barat Rt. 012/09, Jati Padang, Pancoran",Jakarta Selatan,"Daruseno Nugroho, Penera Penyelia",TUS,2016-03-24,2017-03-24
SPBU TOTAL TENDEAN,20,"Jl. Kapten Tendean No. 09 RT. 01/05 Kuningan Barat, Mampang Prapatan",Jakarta Selatan,"Fany Abast, ST., Penera Muda",TUS,2016-08-15,2017-08-15
SPBUT 34-14309,4,Depo Plumpang,Jakarta Utara,"Endarto, SE., ST., Penera Muda",TUS,2016-11-08,2017-11-08
SPBUT CAKUNG,2,"Jl. Raya Cakung Cilincing, Kav. 45 Km. 1",Jakarta Timur,"Moh. Kosasih, ST., Penera Madya",TUS,2016-11-07,2017-11-07
SPBUT KEBON JERUK,2,Jl. Lingkar Luar Barat No. 14 Kembangan,Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-11-07,2017-11-07
SPBUT LENTENG AGUNG,2,Jl. Raya Lenteng Agung No. 50,Jakarta Selatan,"Moh. Kosasih, ST., Penera Madya",TUS,2016-11-09,2017-11-09
SPBUT PULOGADUNG,2,Jl. Kepiting No. 9 Kawasan Industri Pulogadung,Jakarta Timur,"Moh. Kosasih, ST., Penera Madya",TUS,2016-11-07,2017-11-07
SPBUT TAMAN ANGGREK,2,Jl. Raya Orchid Tanjung Duren Kemanggisan,Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-11-07,2017-11-07
SPBUT TANAH ABANG,2,Jl. Tembus Fachrudin No. 40 Jati Baru,Jakarta Pusat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-11-07,2017-11-07
SPDN 39-14117,8,Jl. Rekreasi Ujung No. 1 TPI Cilincing,Jakarta Utara,"Warsono, SE., Penera Madya",TUS,2016-09-30,2017-09-30
